year,text
2015,"
Movies: Star Wars: The Force Awakens, Jurassic World, Mad Max: Fury Road.
Books: The Girl on the Train (Paula Hawkins), Go Set a Watchman (Harper Lee), Between the World and Me (Ta-Nehisi Coates).
Music: 25 (Adele), ""Uptown Funk"" (Mark Ronson ft. Bruno Mars), To Pimp a Butterfly (Kendrick Lamar).
Iconic Context: ""The Dress"" (Blue/Black), Legalization of same-sex marriage (US)."
2016,"Movies: Captain America: Civil War, Rogue One: A Star Wars Story, Deadpool.
Books: Harry Potter and the Cursed Child (Thorne/Rowling), The Underground Railroad (Colson Whitehead), It Ends with Us (Colleen Hoover - original release).
Music: Views (Drake), Lemonade (Beyoncé), ""One Dance"" (Drake).
Iconic Context: Pokémon GO, Brexit, Harambe."
2017,"Movies: Star Wars: The Last Jedi, Wonder Woman, Get Out, Beauty and the Beast.
Books: The Hate U Give (Angie Thomas), Origin (Dan Brown), Little Fires Everywhere (Celeste Ng).
Music: ÷ (Divide) (Ed Sheeran), ""Shape of You"" (Ed Sheeran), ""Despacito"" (Luis Fonsi ft. Daddy Yankee).
Iconic Context: #MeToo movement, Great American Solar Eclipse, Fyre Festival."
2018,"
Movies: Avengers: Infinity War, Black Panther, Spider-Man: Into the Spider-Verse.
Books: Becoming (Michelle Obama), The President Is Missing (Bill Clinton/James Patterson), Circe (Madeline Miller).
Music: Scorpion (Drake), ""God's Plan"" (Drake), ""Shallow"" (Lady Gaga & Bradley Cooper).
Iconic Context: Thai Cave Rescue, Royal Wedding (Harry & Meghan)."
2019,"
Movies: Avengers: Endgame (highest-grossing of all time then), Joker, Parasite, The Lion King.
Books: The Testaments (Margaret Atwood), Where the Crawdads Sing (Delia Owens - peak year), Normal People (Sally Rooney).
Music: When We All Fall Asleep, Where Do We Go? (Billie Eilish), ""Old Town Road"" (Lil Nas X), Lover (Taylor Swift).
Iconic Context: Notre-Dame fire, Storm Area 51, ""OK Boomer."""
2020,"Movies: Bad Boys for Life (Top US gross), Tenet, Soul (Disney+), Demon Slayer: Mugen Train (Global).
Books: A Promised Land (Barack Obama), The Ballad of Songbirds and Snakes (Suzanne Collins), The Midnight Library (Matt Haig).
Music: Folklore (Taylor Swift), After Hours (The Weeknd), ""Blinding Lights"" (The Weeknd).
Iconic Context: COVID-19, Tiger King, Black Lives Matter protests."
2021,"Movies: Spider-Man: No Way Home, Dune, No Time to Die.
Books: The Last Thing He Told Me (Laura Dave), Project Hail Mary (Andy Weir), The Hill We Climb (Amanda Gorman).
Music: Sour (Olivia Rodrigo), ""Stay"" (The Kid LAROI & Justin Bieber), ""Drivers License"" (Olivia Rodrigo).
Iconic Context: Suez Canal blockage (Ever Given), NFT mania, Jan 6th."
2022,"
Movies: Top Gun: Maverick, Avatar: The Way of Water, Everything Everywhere All At Once.
Books: It Starts with Us (Colleen Hoover), Sea of Tranquility (Emily St. John Mandel), I'm Glad My Mom Died (Jennette McCurdy).
Music: Midnights (Taylor Swift), Un Verano Sin Ti (Bad Bunny), ""As It Was"" (Harry Styles).
Iconic Context: Wordle, The Will Smith Oscars Slap, Passing of Queen Elizabeth II."
2023,"
Movies: Barbie, Oppenheimer, The Super Mario Bros. Movie.
Books: Spare (Prince Harry), Fourth Wing (Rebecca Yarros), Yellowface (R.F. Kuang).
Music: One Thing at a Time (Morgan Wallen), ""Flowers"" (Miley Cyrus), The Eras Tour (Live phenomenon).
Iconic Context: Titan Submersible, Twitter-to-X rebrand, ""Roman Empire"" meme."
2024,"Movies: Inside Out 2, Deadpool & Wolverine, Dune: Part Two.
Books: The Women (Kristin Hannah), Funny Story (Emily Henry), The Housemaid is Watching (Freida McFadden).
Music: The Tortured Poets Department (Taylor Swift), ""Not Like Us"" (Kendrick Lamar), ""Espresso"" (Sabrina Carpenter), Brat (Charli XCX).
Iconic Context: Paris Olympics, ""Brat Summer,"" the ""Coconut Tree"" meme."
invariant, "Machine learning models can be fine-tuned on domain-specific data."
invariant, "The quick brown fox jumps over the lazy dog."
